HHID,value,area_km2_buffer_1,area_km2_buffer_5,area_km2_buffer_10,area_km2_buffer_15,area_km2_buffer_20,year
10101001,14,.001495743109202,.1338696954834539,1.099096154416473,5.086347209602885,10.33149196722589,2014
10101001,15,.0059828239371756,.233319772447064,.8412682622239013,1.808985420728297,4.368057972090365,2015
10101001,16,.000747862768459,.2033072950686504,.8725996404873217,2.926019152088503,3.869995929141558,2016
10101001,17,.0127886580130457,.5785380661320582,1.465001788256064,2.67997870182914,3.850021901454018,2017
10101001,18,0,.2062634021322088,.7187956148709215,1.348031019808194,3.099882720803365,2018
10101001,19,0,.0653806454699072,.7807275249117291,1.59828159316086,5.205235253013779,2019
10117001,14,.1245556046102049,2.180241058433114,8.654076594173731,19.12847932765877,30.80574106752804,2014
10117001,15,.0075291528917222,.4254500979451731,2.851605572824081,5.435823583364249,8.728873045977346,2015
10117001,16,.034764348155281,.8764602417931003,4.843675361245895,9.60596753612726,16.59695874255122,2016
10117001,17,.0173236970187849,1.030457202866335,4.38202453599045,8.96109148513429,15.98416557704639,2017
10117001,18,0,.6648124744824655,4.057443835306791,10.00354265748772,18.33093803404005,2018
10117001,19,.0127997152118193,.5084189573920576,3.292214346541377,8.313556460261779,15.01968160826313,2019
10117002,14,.0713874301543574,2.604497372492098,8.069913947517922,15.06143735204882,25.66387541801696,2014
10117002,15,.0233380917048401,.9460790137553942,2.275235206453512,4.896726639338978,7.754776579777808,2015
10117002,16,.0466398037899213,1.653364660963473,4.961733215375887,8.60026913263165,13.187359075615,2016
10117002,17,.029177040864878,1.456354848684676,4.807311744766745,8.290942484373611,13.34085291788677,2017
10117002,18,.0234410129670193,1.269577119578884,3.9896533482225,7.891197467313941,13.77097523502286,2018
10117002,19,.0575801743522646,.9570826647847935,3.231056612225505,7.100114887484206,12.31724737417964,2019
10117003,14,.0588398182442898,2.526522940345909,8.162578082973504,16.01085140689337,26.54832943936733,2014
10117003,15,.0088004569129369,.8851405956397076,2.393940078040802,4.959735423587232,7.895490624471679,2015
10117003,16,.0455903410480847,1.539185851791256,5.018849246474744,8.658985007647026,13.63294278037906,2016
10117003,17,.0351067980356075,1.430787600756997,4.931203026515298,8.430921499988882,13.42327843339774,2017
10117003,18,.0107159637851988,1.180711664422861,4.103305084417428,8.139202893560368,14.08244602753374,2018
10117003,19,.011990055569228,.8946226816926602,3.200073354194147,7.272376071448383,12.54342768477861,2019
10117004,14,.0775715086620199,2.46788310421397,8.172479743882366,17.49820932285755,29.059769765475,2014
10117004,15,.0092393361598042,.6788059355512612,2.849087837150965,5.15018365283325,8.259805556438028,2015
10117004,16,.0426296926288198,1.466991476678545,5.130916018491226,9.044187067715603,15.47329919580889,2016
10117004,17,.0180716777111711,1.110206520679536,4.530293770618577,8.786753115320431,14.50030338835321,2017
10117004,18,.0293660826304822,.9506215267095416,3.806289520028565,8.740532010389712,16.08134531331911,2018
10117004,19,.0112946691391399,.8238169138828551,3.304528491231775,7.71428464646389,13.47080908399951,2019
10117005,14,.1178003739503711,2.632844598123486,8.252357532393866,16.52203380864152,27.25795258393737,2014
10117005,15,.0143073894504666,.8430760183093265,2.716620714148699,5.001090383881045,7.97099369914287,2015
10117005,16,.0157884194124516,1.58790215785768,5.157354020930719,8.696367030416654,13.99856652031839,2016
10117005,17,.0180724644362216,1.383311119131879,4.922417643840377,8.373492096105704,13.59640945174381,2017
10117005,18,.0203438744063983,1.112109167011728,4.116297020775631,8.169252527622964,14.43797710219157,2018
10117005,19,.0079151524877305,.8862246272936783,3.265020720573478,7.336780293665079,12.72751802064389,2019
10117006,14,.134326409277272,2.006439494715613,8.852042546813337,19.46020620725991,31.10962484794862,2014
10117006,15,.004517331649381,.4250447687926522,2.815616448140051,5.490348836771611,8.866901339895325,2015
10117006,16,.0414362915561128,.9682027940912566,4.752471671932847,9.696932730549918,16.76547788111704,2016
10117006,17,.0427304181105388,1.040542311615909,4.36627513879603,9.064412780830759,16.40442885756217,2017
10117006,18,0,.5654055222862919,4.045315535678402,10.17998354965662,18.94836226655037,2018
10117006,19,.0009786165305024,.4786251377742983,3.227217402127196,8.47032809679183,15.39584421829926,2019
10117007,14,.1236046113221172,2.714930798576814,8.120344268783917,16.54860903177551,27.63187854962706,2014
10117007,15,.0184743675208854,.8444631288561478,2.754078213397144,5.006541161158709,8.068549470890115,2015
10117007,16,.0380124203781854,1.659568710146404,5.207966567367581,8.706682700561881,14.28337483891591,2016
10117007,17,.011396116450171,1.400534138345383,4.850510184782071,8.43646188758281,13.77541777902887,2017
10117007,18,.0297754770228883,1.146202794428242,4.048700510455333,8.245371030628284,14.59179855958148,2018
10117007,19,.0235057966531197,.9427176636975148,3.304517941955256,7.39824326653749,12.73694273188413,2019
10117008,14,.0600325325212067,2.54613136245447,8.14425415169435,15.92498923980643,26.44183708756026,2014
10117008,15,.0165669432925776,.8980459253424601,2.318964131254262,4.930848110604934,7.868486402572352,2015
10117008,16,.0494569550143015,1.55249020316363,5.014315361170156,8.652336371307104,13.56042560581608,2016
10117008,17,.0368872718643807,1.435624480178455,4.911764658531029,8.422023150637404,13.4043019922353,2017
10117008,18,.009157554991257,1.195064623381807,4.106221322840785,8.075817183816453,14.05873989415966,2018
10117008,19,.0097895949245082,.8986891189760442,3.211193384412265,7.288378671455454,12.44454089757628,2019
10117009,14,.0641722062566003,2.594782700426229,8.209628270421295,16.17900138882458,26.79524074971292,2014
10117009,15,.0060439516229017,.8779701415981325,2.488749611132908,4.965387741304157,7.909528961100629,2015
